#,Date - Time,TX Bytes,RX Bytes
94,2018-10-24 22:00:00+00:00,121764778638,36504958147
95,2018-10-24 23:00:00+00:00,80400795249,21931522760
96,2018-10-25 00:00:00+00:00,99315612584,16332867336
97,2018-10-25 01:00:00+00:00,198996869773,63473746622
98,2018-10-25 02:00:00+00:00,260229869952,94423495563
99,2018-10-25 03:00:00+00:00,235953978001,73160399314
100,2018-10-25 04:00:00+00:00,147846870235,43691767250
101,2018-10-25 05:00:00+00:00,233093714273,52157536582
102,2018-10-25 06:00:00+00:00,284636828974,70156870280
103,2018-10-25 07:00:00+00:00,313561343892,102961635937
104,2018-10-25 08:00:00+00:00,372722517500,101346079098
105,2018-10-25 09:00:00+00:00,319867810943,75461434744
106,2018-10-25 10:00:00+00:00,244193440184,71639247319
107,2018-10-25 11:00:00+00:00,234223826071,68893822127
108,2018-10-25 12:00:00+00:00,268775400759,70750683086
109,2018-10-25 13:00:00+00:00,4.58987408315e+11,109673413511
110,2018-10-25 14:00:00+00:00,497351756693,118423870732
111,2018-10-25 15:00:00+00:00,6.0922652551e+11,144494190059
112,2018-10-25 16:00:00+00:00,443154863327,95183630954
113,2018-10-25 17:00:00+00:00,371629303480,84954752379
114,2018-10-25 18:00:00+00:00,355223204347,116928734554
115,2018-10-25 19:00:00+00:00,3.48253055703e+11,104689051493
116,2018-10-25 20:00:00+00:00,345779249121,80957230500
117,2018-10-25 21:00:00+00:00,2.65717580035e+11,89445404240
118,2018-10-25 22:00:00+00:00,117743676887,41061470943
119,2018-10-25 23:00:00+00:00,80332996999,13463342694
120,2018-10-26 00:00:00+00:00,94742224462,26032900110
121,2018-10-26 01:00:00+00:00,163954214891,34532885349
122,2018-10-26 02:00:00+00:00,161367065637,46505576763
123,2018-10-26 03:00:00+00:00,133242823023,57243803760
124,2018-10-26 04:00:00+00:00,143806039355,40324010593
125,2018-10-26 05:00:00+00:00,132885567172,33216803021
126,2018-10-26 06:00:00+00:00,209728186750,43241012390
127,2018-10-26 07:00:00+00:00,318391028115,71800531916
128,2018-10-26 08:00:00+00:00,315994929897,88002280941
129,2018-10-26 09:00:00+00:00,226843172315,71080947005
130,2018-10-26 10:00:00+00:00,1.96412440868e+11,64770626449
131,2018-10-26 11:00:00+00:00,186686741709,64564638710
132,2018-10-26 12:00:00+00:00,225276252443,78368326251
133,2018-10-26 13:00:00+00:00,301679184508,90293788037
134,2018-10-26 14:00:00+00:00,316552517037,86255011580
135,2018-10-26 15:00:00+00:00,299870150429,112746592364
136,2018-10-26 16:00:00+00:00,275326826143,119409064030
137,2018-10-26 17:00:00+00:00,294040510475,119291347781
138,2018-10-26 18:00:00+00:00,255177693478,117411373838
139,2018-10-26 19:00:00+00:00,254787029752,154688927610
140,2018-10-26 20:00:00+00:00,215744135545,76407016165
141,2018-10-26 21:00:00+00:00,137069954360,70046187722
142,2018-10-26 22:00:00+00:00,75809842065,29792560510
143,2018-10-26 23:00:00+00:00,62316648299,25558094256
144,2018-10-27 00:00:00+00:00,42686410786,21070014581
145,2018-10-27 01:00:00+00:00,35693290756,23888635353
146,2018-10-27 02:00:00+00:00,35332077132,21478799962
147,2018-10-27 03:00:00+00:00,35869729256,21347770407
148,2018-10-27 04:00:00+00:00,31372344734,20473691862
149,2018-10-27 05:00:00+00:00,33224211676,22046376289
150,2018-10-27 06:00:00+00:00,36581001173,22517193434
151,2018-10-27 07:00:00+00:00,37210122785,22587825976
152,2018-10-27 08:00:00+00:00,37257642845,23673444344
153,2018-10-27 09:00:00+00:00,40738491522,27175504997
